index,network_names,ROI1,ROI2
1005,Aud and DoA,15,46
1006,Aud and DoA,16,46
1007,Aud and SoM,17,46
1008,Aud and DoA,18,46
1009,Aud and SoM,19,46
1010,Aud and SoM,20,46
1011,Aud and DoA,21,46
1012,Aud and InO,22,46
1013,Aud and DoA,23,46
1014,Aud and Def,24,46
1015,Aud and Def,25,46
1016,Aud and Def,26,46
1017,Aud and Lmb,27,46
1018,Aud and Lmb,28,46
1019,Aud and Lmb,29,46
1020,Aud and Def,30,46
1021,Aud and Def,31,46
1022,Aud and Def,32,46
1023,Aud and Def,33,46
1024,Aud and SoM,34,46
1025,Aud and Def,35,46
1026,Aud and Def,36,46
1027,Aud and Lmb,37,46
